Date,Attendance,Admissions,Tri_1,Tri_2,Tri_3,Tri_4,Tri_5
29-APR-2014,189,101,,54,83,49,
30-APR-2014,174,97,,38,73,57,4.0
01-MAY-2014,147,83,,44,60,40,
02-MAY-2014,161,95,,46,78,31,5.0
03-MAY-2014,169,90,3.0,40,80,45,
04-MAY-2014,154,80,,37,78,37,
05-MAY-2014,190,95,,45,86,52,5.0
06-MAY-2014,164,99,3.0,58,75,27,
07-MAY-2014,171,100,7.0,39,87,37,
08-MAY-2014,150,90,4.0,48,64,30,4.0
09-MAY-2014,181,106,4.0,52,80,37,8.0
10-MAY-2014,207,111,,53,93,59,
11-MAY-2014,197,106,,48,94,51,
12-MAY-2014,198,103,3.0,48,81,59,7.0
13-MAY-2014,163,93,4.0,39,88,28,4.0
14-MAY-2014,164,80,,38,84,35,6.0
15-MAY-2014,169,98,,45,78,40,4.0
16-MAY-2014,160,91,3.0,40,70,46,
17-MAY-2014,179,110,3.0,42,91,41,
18-MAY-2014,199,98,6.0,49,79,59,6.0
19-MAY-2014,195,99,3.0,45,79,62,6.0
20-MAY-2014,158,80,,41,74,41,
21-MAY-2014,161,96,3.0,47,68,39,4.0
22-MAY-2014,185,102,,47,77,48,11.0
23-MAY-2014,183,86,,48,80,48,5.0
24-MAY-2014,181,82,,37,78,62,3.0
25-MAY-2014,188,97,5.0,44,82,51,6.0
26-MAY-2014,172,99,,52,73,34,11.0
27-MAY-2014,185,110,4.0,41,91,47,
28-MAY-2014,162,89,,48,75,35,
29-MAY-2014,181,94,5.0,46,80,47,3.0
30-MAY-2014,163,96,3.0,35,71,50,4.0
31-MAY-2014,188,101,,62,73,49,3.0
01-JUN-2014,181,103,3.0,46,82,47,3.0
02-JUN-2014,169,95,,38,87,40,3.0
03-JUN-2014,206,115,3.0,55,88,53,7.0
04-JUN-2014,163,95,,50,72,40,
05-JUN-2014,197,125,3.0,56,84,54,
06-JUN-2014,173,92,4.0,39,84,41,5.0
07-JUN-2014,197,87,,41,91,56,7.0
08-JUN-2014,171,89,6.0,40,78,44,3.0
09-JUN-2014,191,107,,53,82,50,4.0
10-JUN-2014,180,97,3.0,43,74,57,3.0
