Date,Attendance,Admissions,Tri_1,Tri_2,Tri_3,Tri_4,Tri_5
22-DEC-2013,272,68,,32,80,147,12                                                                                                                                                                                                                                                                                         
23-DEC-2013,273,71,,28,80,162,3                                                                                                                                                                                                                                                                                             
24-DEC-2013,269,67,3.0,26,103,134,3                                                                                                                                                                                                                                                                                                 
25-DEC-2013,249,59,,23,86,126,13                                                                                                                                                                                                                                                                                               
26-DEC-2013,302,71,3.0,32,99,161,7                                                                                                                                                                                                                                                                                                
27-DEC-2013,296,75,,33,71,159,31                                                                                                                                                                                                                                                                                           
28-DEC-2013,277,72,,30,98,129,19                                                                                                                                                                                                                                                                                               
29-DEC-2013,270,69,,37,80,143,10                                                                                                                                                                                                                                                                                            
30-DEC-2013,266,85,,29,112,108,16                                                                                                                                                                                                                                                                                              
31-DEC-2013,236,78,,36,70,113,15                                                                                                                                                                                                                                                                                                
01-JAN-2014,294,76,,41,76,163,12                                                                                                                                                                                                                                                                                               
02-JAN-2014,254,84,,35,74,131,13                                                                                                                                                                                                                                                                                      
03-JAN-2014,268,71,,22,108,127,11                                                                                                                                                                                                                                                                                              
04-JAN-2014,237,54,,29,74,119,14                                                                                                                                                                                                                                                                                                   
05-JAN-2014,275,67,,31,98,140,6                                                                                                                                                                                                                                                                                          
06-JAN-2014,275,87,,39,105,119,11                                                                                                                                                                                                                                                                                                
07-JAN-2014,239,67,,26,81,122,10                                                                                                                                                                                                                                                                                         
08-JAN-2014,235,70,,34,65,124,10                                                                                                                                                                                                                                                                                                   
09-JAN-2014,238,71,,36,90,103,9                                                                                                                                                                                                                                                                                                  
10-JAN-2014,247,59,,21,91,125,8                                                                                                                                                                                                                                                                                           
11-JAN-2014,253,72,3.0,23,92,117,18                                                                                                                                                                                                                                                                                                    
12-JAN-2014,259,55,,28,66,145,18                                                                                                                                                                                                                                                                                                  
13-JAN-2014,268,78,,30,108,125,5                                                                                                                                                                                                                                                                                         
14-JAN-2014,240,72,,31,77,118,14                                                                                                                                                                                                                                                                                         
15-JAN-2014,263,70,,36,76,136,13                                                                                                                                                                                                                                                                                           
16-JAN-2014,262,76,,24,89,136,12                                                                                                                                                                                                                                                                                               
17-JAN-2014,248,63,,31,82,130,3                                                                                                                                                                                                                                                                                              
18-JAN-2014,266,69,3.0,29,69,149,16                                                                                                                                                                                                                                                                                            
19-JAN-2014,243,74,,25,62,145,9                                                                                                                                                                                                                                                                                               
20-JAN-2014,236,78,,25,71,134,5                                                                                                                                                                                                                                                                                               
21-JAN-2014,234,81,,32,82,112,7                                                                                                                                                                                                                                                                                               
22-JAN-2014,241,60,,28,97,107,7                                                                                                                                                                                                                                                                                                    
23-JAN-2014,249,71,3.0,24,68,150,4                                                                                                                                                                                                                                                                                                    
24-JAN-2014,260,71,,35,107,108,10                                                                                                                                                                                                                                                                                                
25-JAN-2014,271,86,,40,92,124,13                                                                                                                                                                                                                                                                                                 
26-JAN-2014,269,63,,31,82,148,7                                                                                                                                                                                                                                                                                            
27-JAN-2014,309,62,3.0,29,89,158,30                                                                                                                                                                                                                                                                                            
28-JAN-2014,293,83,,27,76,167,22                                                                                                                                                                                                                                                                                         
29-JAN-2014,257,76,3.0,24,82,133,15                                                                                                                                                                                                                                                                                                     
30-JAN-2014,243,80,,26,77,119,20                                                                                                                                                                                                                                                                                            
31-JAN-2014,266,71,,28,85,129,23                                                                                                                                                                                                                                                                                          
01-FEB-2014,244,57,,28,86,122,8                                                                                                                                                                                                                                                                                          
02-FEB-2014,287,83,4.0,35,105,138,5                                                                                                                                                                                                                                                                                              
03-FEB-2014,245,76,,24,86,124,10                                                                                                                                                                                                                                                                                                
04-FEB-2014,238,85,,37,96,95,9                                                                                                                                                                                                                                                                                             
05-FEB-2014,244,77,,41,83,119,N/A                                                                                                                                                                                                                                                                                             
06-FEB-2014,235,68,,30,72,125,7                                                                                                                                                                                                                                                                                         
07-FEB-2014,267,74,,34,89,138,5                                                                                                                                                                                                                                                                                                
08-FEB-2014,257,62,3.0,33,96,113,12                                                                                                                                                                                                                                                                                              
09-FEB-2014,263,57,,34,83,138,8                                                                                                                                                                                                                                                                                              
10-FEB-2014,262,74,,30,77,151,3                                                                                                                                                                                                                                                                                               
11-FEB-2014,251,71,,35,85,124,5                                                                                                                                                                                                                                                                                             
12-FEB-2014,235,69,,26,77,127,4                                                                                                                                                                                                                                                                                              
13-FEB-2014,231,69,,29,65,132,5                                                                                                                                                                                                                                                                                                  
14-FEB-2014,253,63,,27,91,128,6                                                                                                                                                                                                                                                                                                       
15-FEB-2014,250,76,,26,100,116,8                                                                                                                                                                                                                                                                                                
16-FEB-2014,277,89,,40,79,146,12                                                                                                                                                                                                                                                                                              
17-FEB-2014,272,72,,30,86,150,5                                                                                                                                                                                                                                                                                              
18-FEB-2014,280,90,,42,87,145,4                                                                                                                                                                                                                                                                                           
19-FEB-2014,254,79,,39,86,117,12                                                                                                                                                                                                                                                                                              
20-FEB-2014,245,88,,16,95,126,6                                                                                                                                                                                                                                                                                                
21-FEB-2014,250,75,3.0,39,101,96,11                                                                                                                                                                                                                                                                                              
22-FEB-2014,248,64,,34,74,135,3                                                                                                                                                                                                                                                                                              
23-FEB-2014,295,78,,36,104,149,5                                                                                                                                                                                                                                                                                                
24-FEB-2014,277,90,,28,110,128,10                                                                                                                                                                                                                                                                                           
25-FEB-2014,248,76,,34,69,131,13                                                                                                                                                                                                                                                                                              
26-FEB-2014,245,81,4.0,24,94,119,4                                                                                                                                                                                                                                                                                              
27-FEB-2014,256,79,,28,113,106,9                                                                                                                                                                                                                                                                                              
28-FEB-2014,254,67,,38,68,135,11                                                                                                                                                                                                                                                                                               
01-MAR-2014,255,79,,32,78,140,3                                                                                                                                                                                                                                                                                                     
02-MAR-2014,299,71,,21,83,182,11                                                                                                                                                                                                                                                                                               
03-MAR-2014,277,77,,23,97,151,6                                                                                                                                                                                                                                                                                           
04-MAR-2014,264,69,,26,77,145,15                                                                                                                                                                                                                                                                                           
05-MAR-2014,262,78,,30,75,145,12                                                                                                                                                                                                                                                                                                
06-MAR-2014,248,72,,28,73,142,5                                                                                                                                                                                                                                                                                            
07-MAR-2014,280,64,3.0,27,104,141,5                                                                                                                                                                                                                                                                                           
08-MAR-2014,246,71,,39,90,116,N/A                                                                                                                                                                                                                                                                                                       
09-MAR-2014,315,73,,27,97,172,18                                                                                                                                                                                                                                                                                             
10-MAR-2014,282,84,,36,94,134,16                                                                                                                                                                                                                                                                                               
11-MAR-2014,242,88,6.0,38,92,105,N/A                                                                                                                                                                                                                                                                                                   
12-MAR-2014,234,81,,26,90,108,10                                                                                                                                                                                                                                                                                               
13-MAR-2014,234,70,,29,67,129,8                                                                                                                                                                                                                                                                                            
14-MAR-2014,248,73,,28,88,127,3                                                                                                                                                                                                                                                                                                 
15-MAR-2014,243,67,,30,78,126,9                                                                                                                                                                                                                                                                                                   
16-MAR-2014,277,62,,21,100,140,14                                                                                                                                                                                                                                                                                                     
17-MAR-2014,283,92,,32,86,154,9                                                                                                                                                                                                                                                                                              
18-MAR-2014,258,78,,26,99,124,9                                                                                                                                                                                                                                                                                              
