Date,Attendance,Admissions,Tri_1,Tri_2,Tri_3,Tri_4,Tri_5
24-MAR-2014,153,36,,14,47,82,8.0
25-MAR-2014,126,25,3.0,15,60,42,6.0
26-MAR-2014,126,16,,25,39,49,13.0
27-MAR-2014,127,25,,21,47,55,3.0
28-MAR-2014,109,18,,23,26,52,8.0
29-MAR-2014,139,30,,27,49,59,4.0
30-MAR-2014,108,19,,17,38,44,9.0
31-MAR-2014,131,33,,24,56,44,7.0
01-APR-2014,120,25,,18,42,48,11.0
02-APR-2014,113,24,,13,44,51,3.0
03-APR-2014,136,36,,17,41,74,4.0
04-APR-2014,132,29,,27,51,49,4.0
05-APR-2014,133,28,,30,50,51,
06-APR-2014,147,28,,25,72,32,17.0
07-APR-2014,136,31,,23,51,55,6.0
08-APR-2014,141,29,,20,71,45,5.0
09-APR-2014,142,19,,25,51,58,7.0
10-APR-2014,144,20,,16,52,58,17.0
11-APR-2014,134,31,,24,44,55,9.0
12-APR-2014,127,30,,22,45,54,6.0
13-APR-2014,158,26,,25,51,68,14.0
14-APR-2014,141,28,,16,59,43,21.0
15-APR-2014,132,32,,31,42,51,7.0
16-APR-2014,115,18,,22,37,50,4.0
17-APR-2014,122,26,,20,40,41,20.0
18-APR-2014,107,16,3.0,18,38,44,4.0
19-APR-2014,145,29,,25,39,62,18.0
20-APR-2014,149,23,,27,38,66,16.0
21-APR-2014,138,27,3.0,18,44,59,14.0
22-APR-2014,142,19,,23,62,49,7.0
23-APR-2014,118,17,,16,38,48,14.0
24-APR-2014,124,22,,20,45,47,12.0
25-APR-2014,139,30,,31,39,58,10.0
26-APR-2014,146,26,,31,54,54,6.0
27-APR-2014,165,24,,22,58,72,13.0
28-APR-2014,138,27,,22,44,63,8.0
29-APR-2014,117,32,,26,37,39,15.0
30-APR-2014,114,27,,10,68,34,
01-MAY-2014,128,40,,27,36,55,9.0
02-MAY-2014,122,25,,22,42,50,7.0
03-MAY-2014,135,31,,26,52,50,6.0
04-MAY-2014,164,24,,18,44,78,22.0
05-MAY-2014,133,31,,32,37,53,11.0
06-MAY-2014,112,29,,21,42,44,5.0
07-MAY-2014,133,44,,21,51,53,8.0
08-MAY-2014,119,25,,27,36,42,12.0
09-MAY-2014,142,29,3.0,32,45,56,6.0
10-MAY-2014,139,34,,23,52,58,5.0
11-MAY-2014,152,25,,21,39,63,28.0
12-MAY-2014,142,28,,27,41,58,16.0
13-MAY-2014,133,27,,21,40,61,10.0
14-MAY-2014,139,33,,23,62,46,7.0
15-MAY-2014,138,34,,26,51,53,6.0
16-MAY-2014,125,29,,25,55,40,5.0
17-MAY-2014,146,26,3.0,20,42,67,14.0
18-MAY-2014,157,27,,33,41,75,7.0
19-MAY-2014,137,33,,29,64,35,8.0
20-MAY-2014,142,38,,29,49,55,9.0
21-MAY-2014,118,20,,21,46,47,3.0
22-MAY-2014,134,29,,22,31,61,19.0
23-MAY-2014,130,30,,20,49,52,7.0
24-MAY-2014,154,22,,35,47,64,8.0
25-MAY-2014,139,25,,23,48,56,11.0
26-MAY-2014,159,34,,27,62,60,9.0
27-MAY-2014,134,23,,20,61,43,8.0
28-MAY-2014,127,22,,26,45,50,6.0
29-MAY-2014,110,26,,23,42,40,4.0
30-MAY-2014,130,19,,19,52,50,7.0
31-MAY-2014,127,23,3.0,23,41,52,8.0
01-JUN-2014,165,25,,30,56,74,4.0
02-JUN-2014,153,25,,27,51,62,13.0
03-JUN-2014,133,28,,30,55,41,5.0
04-JUN-2014,134,20,,20,44,64,6.0
