Date,Attendance,Admissions,Tri_1,Tri_2,Tri_3,Tri_4,Tri_5
26-DEC-2013,33,4.0,,,4.0,19,10.0
27-DEC-2013,46,9.0,,,8.0,20,18.0
28-DEC-2013,26,6.0,,,6.0,16,4.0
29-DEC-2013,32,5.0,,,3.0,17,12.0
30-DEC-2013,52,4.0,,,,32,19.0
31-DEC-2013,44,3.0,,,4.0,24,15.0
01-JAN-2014,33,4.0,,,4.0,19,9.0
02-JAN-2014,53,6.0,,,6.0,25,22.0
03-JAN-2014,58,6.0,,,4.0,28,26.0
04-JAN-2014,41,4.0,,,6.0,20,15.0
05-JAN-2014,28,,,,,19,7.0
06-JAN-2014,49,6.0,,,4.0,22,23.0
07-JAN-2014,40,3.0,,,,19,18.0
08-JAN-2014,44,5.0,,,6.0,32,6.0
09-JAN-2014,42,5.0,,,5.0,20,17.0
10-JAN-2014,55,6.0,,,,29,23.0
11-JAN-2014,30,,,,5.0,17,8.0
12-JAN-2014,26,,,,4.0,9,11.0
13-JAN-2014,45,4.0,,,7.0,16,22.0
14-JAN-2014,45,10.0,,,3.0,21,19.0
15-JAN-2014,51,5.0,,,3.0,32,15.0
16-JAN-2014,49,4.0,,,6.0,24,19.0
17-JAN-2014,47,,,,3.0,24,20.0
18-JAN-2014,30,,,,4.0,21,5.0
19-JAN-2014,34,5.0,,,6.0,18,10.0
20-JAN-2014,63,8.0,,,8.0,34,19.0
21-JAN-2014,38,6.0,,,3.0,11,24.0
22-JAN-2014,42,7.0,,,5.0,25,10.0
23-JAN-2014,42,5.0,,,5.0,23,14.0
24-JAN-2014,45,5.0,,,3.0,19,22.0
25-JAN-2014,35,5.0,,,5.0,19,10.0
26-JAN-2014,27,3.0,,,,13,11.0
27-JAN-2014,28,4.0,,,4.0,18,6.0
28-JAN-2014,53,,,,,28,23.0
29-JAN-2014,38,,,,3.0,25,10.0
30-JAN-2014,33,,,,,22,9.0
31-JAN-2014,58,,,,11.0,24,23.0
01-FEB-2014,34,4.0,,,4.0,25,5.0
02-FEB-2014,35,3.0,,,,25,8.0
03-FEB-2014,54,8.0,,,3.0,29,21.0
04-FEB-2014,51,,,,3.0,27,21.0
05-FEB-2014,36,5.0,,,3.0,23,10.0
06-FEB-2014,38,,,,,18,19.0
07-FEB-2014,48,6.0,,,3.0,27,16.0
08-FEB-2014,33,8.0,,,,25,6.0
09-FEB-2014,32,5.0,,,6.0,20,6.0
10-FEB-2014,46,8.0,,,5.0,21,19.0
11-FEB-2014,48,3.0,,,,21,24.0
12-FEB-2014,32,5.0,,,4.0,13,15.0
13-FEB-2014,40,4.0,,,3.0,23,14.0
14-FEB-2014,43,5.0,,,8.0,14,21.0
15-FEB-2014,38,4.0,,,4.0,24,10.0
16-FEB-2014,33,,,,7.0,21,5.0
17-FEB-2014,58,8.0,,,10.0,23,24.0
18-FEB-2014,56,5.0,,,5.0,21,30.0
19-FEB-2014,43,,,,5.0,21,17.0
20-FEB-2014,44,5.0,,,5.0,24,15.0
21-FEB-2014,38,,,,4.0,20,14.0
22-FEB-2014,25,,,,3.0,16,6.0
23-FEB-2014,23,,,,,18,4.0
24-FEB-2014,32,,,,3.0,15,14.0
25-FEB-2014,41,4.0,,,3.0,21,17.0
26-FEB-2014,41,6.0,,,7.0,19,15.0
27-FEB-2014,41,5.0,,,3.0,21,17.0
28-FEB-2014,45,,,,,22,21.0
01-MAR-2014,36,7.0,,,8.0,22,6.0
02-MAR-2014,30,,,,4.0,17,9.0
03-MAR-2014,17,3.0,,,,13,3.0
04-MAR-2014,51,3.0,,,,32,17.0
05-MAR-2014,56,9.0,,,8.0,25,20.0
06-MAR-2014,41,,,,3.0,23,15.0
07-MAR-2014,39,4.0,,,,16,20.0
08-MAR-2014,32,3.0,,,8.0,15,9.0
09-MAR-2014,22,,,,,15,6.0
10-MAR-2014,40,5.0,,,9.0,13,18.0
11-MAR-2014,34,3.0,,,3.0,15,15.0
12-MAR-2014,40,4.0,,,3.0,13,24.0
13-MAR-2014,44,5.0,,,,29,14.0
14-MAR-2014,45,4.0,,,5.0,23,17.0
15-MAR-2014,39,3.0,,,8.0,20,11.0
16-MAR-2014,32,5.0,,,5.0,21,5.0
17-MAR-2014,44,5.0,,,3.0,21,20.0
18-MAR-2014,49,4.0,,,6.0,27,16.0
19-MAR-2014,34,,,,,17,16.0
20-MAR-2014,52,7.0,,,8.0,30,13.0
21-MAR-2014,32,,,,,15,15.0
22-MAR-2014,28,4.0,,,4.0,14,10.0
23-MAR-2014,32,3.0,,,3.0,13,16.0
24-MAR-2014,46,,,,,21,23.0
25-MAR-2014,43,5.0,,,3.0,22,18.0
26-MAR-2014,41,4.0,,,6.0,18,17.0
27-MAR-2014,49,5.0,,,8.0,21,19.0
28-MAR-2014,43,7.0,,,3.0,20,19.0
29-MAR-2014,31,7.0,,,3.0,20,8.0
30-MAR-2014,25,3.0,,,3.0,17,5.0
31-MAR-2014,52,5.0,,,9.0,19,24.0
01-APR-2014,36,,,,3.0,12,21.0
02-APR-2014,39,4.0,,,6.0,16,17.0
03-APR-2014,41,5.0,,,,22,18.0
04-APR-2014,45,3.0,,,,22,21.0
05-APR-2014,29,4.0,,,,19,8.0
06-APR-2014,34,,,,8.0,15,11.0
07-APR-2014,57,,,,5.0,22,30.0
08-APR-2014,34,4.0,,,,23,7.0
09-APR-2014,41,,,,7.0,20,14.0
10-APR-2014,39,,,,,23,14.0
11-APR-2014,48,5.0,,,,24,21.0
12-APR-2014,33,4.0,,,3.0,19,11.0
13-APR-2014,23,4.0,,,3.0,17,3.0
14-APR-2014,49,3.0,,,5.0,18,26.0
15-APR-2014,47,8.0,,,4.0,24,19.0
16-APR-2014,35,,,,,16,17.0
17-APR-2014,59,4.0,,,,23,34.0
18-APR-2014,36,5.0,,,5.0,18,12.0
19-APR-2014,31,5.0,,,4.0,15,10.0
20-APR-2014,40,7.0,,,8.0,25,6.0
21-APR-2014,29,3.0,,,4.0,14,10.0
22-APR-2014,50,4.0,,,4.0,23,23.0
23-APR-2014,53,9.0,,,6.0,29,18.0
24-APR-2014,61,7.0,,,,30,29.0
25-APR-2014,32,,,,5.0,16,11.0
26-APR-2014,33,5.0,,,6.0,19,8.0
27-APR-2014,29,,,,3.0,14,10.0
28-APR-2014,49,5.0,,,10.0,22,16.0
29-APR-2014,38,,,,4.0,15,19.0
30-APR-2014,34,,,,,16,18.0
01-MAY-2014,45,5.0,,,,16,27.0
02-MAY-2014,47,4.0,,,5.0,10,32.0
03-MAY-2014,41,3.0,,,3.0,18,19.0
04-MAY-2014,34,6.0,,,3.0,25,6.0
05-MAY-2014,45,8.0,,,7.0,15,22.0
06-MAY-2014,32,,,,3.0,13,16.0
07-MAY-2014,47,4.0,,,,26,19.0
08-MAY-2014,47,,,,6.0,19,22.0
09-MAY-2014,46,5.0,,,9.0,10,27.0
10-MAY-2014,42,13.0,,,8.0,21,13.0
11-MAY-2014,21,,,,,16,5.0
12-MAY-2014,44,3.0,,,7.0,18,19.0
13-MAY-2014,39,10.0,,,8.0,13,18.0
14-MAY-2014,46,9.0,,3.0,3.0,19,21.0
15-MAY-2014,44,10.0,,,4.0,23,17.0
16-MAY-2014,60,3.0,,,9.0,26,24.0
17-MAY-2014,30,3.0,,,6.0,19,5.0
18-MAY-2014,27,,,,3.0,22,
19-MAY-2014,46,,,,4.0,23,19.0
20-MAY-2014,53,6.0,,,7.0,32,14.0
21-MAY-2014,42,7.0,,,6.0,20,16.0
22-MAY-2014,34,4.0,,,,16,17.0
23-MAY-2014,43,,,,3.0,13,27.0
24-MAY-2014,26,3.0,,,4.0,16,6.0
25-MAY-2014,26,,,,,20,4.0
26-MAY-2014,50,3.0,,,6.0,30,14.0
27-MAY-2014,55,9.0,,,10.0,22,21.0
28-MAY-2014,30,,,,,12,16.0
29-MAY-2014,36,5.0,,,4.0,7,25.0
30-MAY-2014,36,5.0,,,,16,18.0
31-MAY-2014,24,5.0,,,5.0,13,6.0
01-JUN-2014,32,3.0,,,5.0,26,
02-JUN-2014,28,4.0,,,6.0,17,5.0
03-JUN-2014,42,9.0,,,9.0,17,16.0
04-JUN-2014,25,,,,,11,14.0
05-JUN-2014,50,6.0,,,5.0,21,23.0
06-JUN-2014,39,5.0,,,3.0,16,20.0
07-JUN-2014,23,4.0,,,6.0,12,4.0
08-JUN-2014,23,,,,,16,5.0
09-JUN-2014,47,9.0,,,9.0,19,19.0
10-JUN-2014,31,3.0,,,,15,16.0
11-JUN-2014,35,5.0,,,3.0,16,14.0
12-JUN-2014,38,3.0,,,4.0,18,16.0
13-JUN-2014,43,5.0,,,5.0,22,16.0
14-JUN-2014,23,,,,3.0,15,5.0
15-JUN-2014,28,5.0,,,4.0,16,7.0
16-JUN-2014,34,,,,,25,7.0
17-JUN-2014,41,,,,5.0,17,18.0
